comparison_id,method,method_version,dataset_id,tier,observation_fraction,algorithm_seed,repeat,timeout_seconds,hardware
baseline-hamming-1nn-rb-1a5b733d623782da0017e1e9,hamming-1nn,1,rb-1a5b733d623782da0017e1e9,n=6,0.03,e3a75b72cffceccf16ca47993801c2631af937070cc70aab680c073f357726d7,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-1a99bb2a23f5cd3c954e1e23,hamming-1nn,1,rb-1a99bb2a23f5cd3c954e1e23,n=10,0.10,8e2836dc4681eb46e91322929f749b8c682b7c047db3fdcfe87b1bbaa162593f,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-1af2ce8f2e432428515d1ee4,hamming-1nn,1,rb-1af2ce8f2e432428515d1ee4,n=10,0.03,4d820860ab283a5e073711adec87f184c042ad4a3e6898d3171a4c97bfddae85,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-1b538d267fb991e836c57310,hamming-1nn,1,rb-1b538d267fb991e836c57310,n=6,0.10,5827b652b6793b27bcddb40cb5752f520ce2920808d25e4304cc1d2f7f0aae19,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-1bc2093b0dd683197fa1c7d6,hamming-1nn,1,rb-1bc2093b0dd683197fa1c7d6,n=8,0.10,826bb42b19b51e1cd76c325d8c6032430f9f463100788d10c8de2738acb74677,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-1d2b7c326bf4d7aae1539543,hamming-1nn,1,rb-1d2b7c326bf4d7aae1539543,n=10,0.03,4c442cf67caf2076946d3d49086480b99f54bcdf1e99a0faaf5284daf7087070,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-1de90e7d72c95ddf2cd133dc,hamming-1nn,1,rb-1de90e7d72c95ddf2cd133dc,n=6,0.10,3b4e8789cbfdfb8e4405b5954047800f0697d1412aecfd41bf1f4994053d7ae2,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-1e3ec4fe767cf5226fc11dab,hamming-1nn,1,rb-1e3ec4fe767cf5226fc11dab,n=6,0.10,765b6e3140d6c8cfe6bdce7abb4c5090471ec369ccbef42b9d0e10b2b36a7b9a,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-2042e0caa560d9896607574a,hamming-1nn,1,rb-2042e0caa560d9896607574a,n=6,0.10,987fee98b9e0facf3a86df858cb465857d20350617f79c76e4e85f116ca6cdcd,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-23c89a6cd4ba45e798554906,hamming-1nn,1,rb-23c89a6cd4ba45e798554906,n=10,0.10,47b2160b878a8461ea6650ba0f8c2a2bf3593c3d930d0288409e3f2e65560b8c,0,300,local-darwin-arm64-rust-1.93.0
